Module ID,Module functional association title,Number of unique genes,Illumina Probe IDs,Symbols of member genes
M16.25,TBD,74,"2371379, 1726752, 2182335, 2358202, 2358783, 2169983, 1660585, 1812441, 1742611, 2047354, 1742074, 1811957, 1782897, 2410540, 1724406, 1723520, 1654583, 2362911, 1656196, 1655497, 1705848, 1713406, 2115005, 1671055, 1707236, 1901616, 1820787, 1678362, 1813650, 1793854, 1656868, 1673933, 2070052, 1693836, 2192620, 2133360, 1724070, 2313158, 1690999, 2054213, 1680673, 1730698, 1806328, 1776076, 2345319, 1738677, 1764609, 1696532, 1668065, 2414014, 1786039, 2322499, 2160819, 1791097, 2358277, 1743427, 1754235, 1752111, 1675609, 1803611, 1702407, 1795400, 1751572, 1693317, 1699503, 1781097, 2285141, 1666632, 2104106, 2087575, 1723007, 1760982, 1718042, 2367233","ACLY, APTX, ARID2, ARS2, ASB3, ATAD1, C15ORF40, C17ORF63, C1ORF52, C1ORF97, C8ORF76, CAMSAP1, CAPRIN1, CASP2, CCDC95, CD1A, CHD1, CLK2, E2F6, EIF4B, FAM104B, FAM39DP, FGD2, GSG1L, HCCS, HS.126245, HS.573264, INOC1, INPP5F, INTS1, LOC23117, LOC440341, LOC613037, LOC653344, LOC90379, LOC91561, MAP3K14, MBNL1, MED23, MPHOSPH8, NT5DC1, ODF2, PDIK1L, POFUT1, PREPL, PRPF8, PWWP2B, RBBP5, RBED1, RBM10, RNF34, RORA, RPS27, RSBN1, RSRC2, SCYL3, SLC35C2, SMARCAL1, SMN1, SNAPC3, SPIN1, TBCD, TLE1, TTC15, UBE2D2, UBXD2, USP48, VPS52, XPR1, ZC3H4, ZCCHC9, ZNF187, ZNF549, ZNF654"
M16.26,TBD,72,"2061446, 2331636, 1743396, 1801606, 1766411, 1769810, 1672128, 1768396, 1812403, 1664738, 1757847, 1718712, 1695917, 1760400, 1778242, 1668721, 1668369, 1684045, 1673788, 1705617, 2415303, 1698934, 1718013, 1754121, 1752451, 1667430, 1672496, 1652082, 1700549, 1698404, 1763365, 1710075, 1754178, 2122420, 1821531, 2096116, 1791423, 2051684, 1778543, 1669550, 2079004, 2356909, 2405521, 1703153, 1664511, 1690473, 1693210, 1660793, 2323848, 1695763, 2396639, 2151817, 1755749, 1797005, 1745420, 1733930, 1746241, 1724504, 1677829, 1789338, 1664956, 1670517, 1674866, 1744316, 1652486, 1786426, 1713129, 2331501, 1690524, 2161832, 2201347, 1693039","AADACL1, ACACA, ACOX3, AMZ2, AP1S2, ARL6IP5, ATF4, AURKAIP1, BCAP31, C11ORF54, C11ORF68, C20ORF177, C5ORF15, C8ORF41, CALM1, CCND3, CDC37, CDCA4, CDV3, CFL1, CLEC10A, CMTM7, CPSF3L, CSK, CTSH, DEGS1, DNAJA1, ELF4, ERLIN2, ERN1, FAM103A1, FAM89A, GDI2, HMGCL, HS.569162, HSP90B1, LOC401052, LOC401152, LOC653874, MAD2L2, MDH2, MOSPD3, MTHFD2, N-PAC, NDC80, NFKBIB, NSMCE2, PAQR4, PARD6A, PDIA5, PDLIM7, PFN1, PGK1, PGLS, PHF19, PREB, SDHC, SETD3, SLC9A6, SORBS3, SSU72, SULT1A3, TADA3L, TATDN3, THAP7, TMEM149, TTF1, UBC, VAMP7, VPS37A, ZDHHC3, ZFPL1"
M16.27,TBD,69,"1759252, 1731596, 1682938, 2163732, 1808115, 1757298, 1750338, 1754304, 1803590, 1779228, 1771233, 2154671, 1695792, 1704139, 1752281, 2197225, 2380946, 1682577, 2394571, 1775753, 1668063, 1748473, 1655921, 2373495, 1846306, 1891857, 1819805, 1871457, 1898682, 1904851, 1904628, 1667432, 2206716, 2229379, 1762801, 1735930, 1665909, 1749304, 1670028, 1690342, 1763467, 1783606, 1752932, 2372915, 1746618, 1653613, 1745365, 1749410, 1683980, 1750079, 1793269, 1741219, 1688780, 1750974, 2372011, 2126344, 1761531, 2357134, 1755234, 1655163, 2175265, 1792076, 2183389, 1746846, 1699226, 1722849, 1802292, 1697919, 2184966","ADD1, AP3S2, ARF3, ATG3, ATP7A, BTBD7, C10ORF47, C6ORF151, CCDC131, CDH2, CHMP4B, COX6B1, CUL4A, DHRSX, DNAJC13, EIF4EBP3, EIF4G2, FAM69A, FBXW11, FBXW2, FCN1, GIMAP4, GTF2E1, H2AFY, HS.363526, HS.369017, HS.426929, HS.534680, HS.556018, HS.563361, HS.568690, HYAL3, JTB, KIT, KLF12, KLF2, LASP1, LOC643389, LPIN2, LTA4H, LY6G5C, MLL5, MPZL2, P2RY2, PAQR7, PIGO, PKNOX1, PKP4, PLEKHM2, PURB, RAB37, RRAGB, S100A4, S100A9, SCAND1, SEC16A, SGPL1, SPHK1, SSH3, STK24, TMEM11, TRERF1, TTC9C, TTLL4, UBR4, UNC13A, WDFY2, WHSC1L1, ZHX2"
M16.28,TBD,67,"1659371, 2280189, 1666885, 2248912, 2123415, 1656045, 1691927, 1762071, 1770678, 1698621, 2134176, 2094332, 1774735, 2264482, 1652000, 1699852, 1740620, 1784492, 2346856, 1704665, 1707945, 1883050, 1836766, 1892100, 1902929, 1825186, 1882708, 1910908, 1797861, 1652331, 1663718, 2373335, 1773236, 1727331, 1720477, 1761422, 1770831, 1707181, 1710641, 1742853, 1733783, 1654823, 1701306, 1689899, 1708510, 1770537, 1745785, 1722450, 1776778, 1651364, 1652412, 1728380, 1807712, 1752028, 1757882, 1724424, 1724598, 1782513, 1790311, 1756411, 2267135, 2170930, 1705218, 1681154, 1781028, 1663858, 2274531","ADRA2A, AKAP11, ATRX, BCAS4, BMP8B, BRUNOL6, BTBD1, C17ORF80, CBX2, COG5, CXORF15, CYORF15B, DDB1, DIDO1, FAM156A, FLJ37464, FLJ40113, FLJ45966, GGPS1, GPM6B, HELB, HS.186848, HS.563639, HS.570617, HS.572495, HS.577681, HS.579070, HS.72010, IL6ST, KCTD5, LHFPL3, LIG3, LOC163233, LOC202181, LOC388237, LOC440349, LOC641978, LOC644284, LOC648490, LOC652184, LOC652790, MGC70863, MRRF, MTERFD2, NFATC2IP, NGFRAP1, NR2F2, NSUN5B, PARP15, PCBD2, PHKB, PHOSPHO2, PILRB, PMS2L1, PPP1R16A, PRRT2, RABL2A, RG9MTD3, SEC23A, SHOX2, ST3GAL1, STRC, TRAPPC2, ZBTB39, ZMYM5, ZNF286A, ZNF586"
M16.29,TBD,62,"1802404, 1740161, 1689296, 1712161, 2319544, 1659350, 1777913, 1788022, 2078659, 2401878, 1762134, 2229969, 2133713, 2389114, 1735157, 1809034, 2220184, 2144791, 1809511, 1798588, 1858271, 1885165, 1862963, 1906158, 2058975, 2244009, 2137084, 1792712, 1772646, 1773616, 1723232, 1732509, 1765729, 1813120, 1769264, 1741260, 1661998, 1698441, 1754988, 1718830, 2089902, 1670844, 1802023, 2410428, 1655974, 1743397, 1807300, 1704656, 2397795, 1745593, 1740345, 1746871, 1671765, 1692546, 2248863, 1766613, 1676240, 1667858, 1687544, 1666420, 1749809, 1665327","ABCC1, ANKRD26, ARMC10, BCOR, CAMK2D, CASP6, CDK8, CDKAL1, DHFRL1, DUSP10, ECHDC1, ERO1LB, FAM76A, FIGNL1, GALNT12, GATC, GFPT1, GOLGA6B, GRINL1A, HLTF, HS.540121, HS.567392, HS.575603, HS.62314, KIAA0776, LBH, LIN9, LOC201725, LOC388681, LOC645052, LOC96610, LRRC40, MAML2, MAP4K3, MCCC2, MDN1, METTL6, MYST4, N6AMT1, NARG2, NUS1, OPN3, OR7E156P, PARG, PDE6B, PIGW, PKD2, PPP2R1B, SLAIN1, STMN1, THYN1, TNRC6C, TRIM35, VNN2, ZBTB38, ZNF121, ZNF138, ZNF493, ZNF567, ZNF679, ZNF813, ZNF92"
M16.30,Complement,61,"1718093, 1800958, 1664828, 1712718, 1796409, 1710740, 1662640, 2149226, 2384785, 1725338, 1795454, 2261627, 2348905, 1651752, 1761820, 1775269, 1652913, 1659682, 1788802, 2070375, 1663447, 1851610, 1909886, 1898190, 1760506, 2365569, 2369221, 1718525, 1653579, 1651507, 1702585, 1729198, 1755910, 1766514, 1743797, 1665282, 1776014, 1696946, 1745513, 2407124, 2136089, 1785324, 2414399, 1708954, 1720282, 1806725, 1789944, 1782403, 2404512, 1664025, 1658143, 2056074, 2398664, 1746699, 1801130, 1770682, 1750678, 1713542, 1737599, 1813430, 1742872, 1732981","ALG1, ALS2CR4, APOBEC3H, BPNT1, C1QB, C2, C20ORF127, CAV1, CCNE1, CLDN23, CPSF6, CTLA4, CTLA4, CXORF21, EDARADD, EID1, EZH2, GALK2, GCH1, GPR82, HNRNPA1, HS.270778, HS.551847, HS.554445, HSD17B7P2, ICA1, IL15, ITIH4, LOC401845, LOC642732, LOC646817, LOC647460, LOC648366, LOC650274, LOC652102, LOC652113, LOC652126, LOC654174, MCAT, MCM8, MTE, MTHFD1, NME1, NOLA1, NQO1, PDCD1, PGAM5, PRR11, PSEN2, PXMP4, RFC3, RGPD2, RNF34, SGOL2, STOML1, TEP1, TIMD4, TRIM14, TRIM5, TRIM69, UBA2, ZBTB32"
M16.31,TBD,62,"2214278, 1801833, 2246956, 1707481, 1761411, 1738047, 2221076, 1793632, 1745005, 1685796, 1807515, 1740737, 1712929, 1689002, 1710150, 1718044, 2413251, 1761259, 1813423, 1700081, 1728521, 1791106, 2231189, 1655312, 1816244, 1798204, 1651557, 1790575, 2184708, 1755221, 1708101, 1682736, 1715702, 1712755, 1652638, 1718129, 1781565, 1812777, 1689800, 2181992, 2348975, 1752226, 2054145, 2287653, 1737025, 1771403, 2077550, 1655684, 1741054, 1759549, 1808783, 1698470, 1662161, 1718831, 1710962, 1731742, 1699737, 1674703, 1662316, 1782079, 1711199, 2374633","ANKRD32, ARHGAP24, BCL2, BTBD15, C10ORF119, C10ORF73, C17ORF85, C1ORF160, C7ORF24, CSDE1, CSTF2T, DCPS, DNAJB12, DTX1, EED, ELAC2, EWSR1, EXT2, FLJ14154, FST, HDAC7A, HEATR6, HIAT1, HPS5, HS.4988, IL21R, KDELC2, KIAA0859, LIN7C, LMAN2L, LMNB2, LOC643452, LOC653171, LRRC41, LRRC58, MAP2K5, MESDC1, MRPL35, MRTO4, MTRF1, NASP, P2RY11, PAK1IP1, PLAG1, PLCL2, PWWP2A, RACGAP1, SARS2, SLC5A6, SRGAP2, STRBP, SYAP1, TBC1D13, TMEM57, TMEM97, TNFRSF13C, TRAP1, UBE1DC1, VPS33A, ZFP3, ZNF331, ZWILCH"
M16.32,TBD,59,"2038777, 2128293, 1792489, 1714737, 2313782, 2367275, 1752988, 1685104, 1778478, 1709294, 1801257, 1798189, 1718988, 2049303, 1712075, 1696028, 1708105, 1696302, 1686254, 1807807, 1658464, 2202423, 1703906, 1829989, 1867188, 1674024, 1741204, 1664756, 1807106, 1779852, 1762957, 1777106, 2205896, 1693862, 1675848, 1771903, 1752008, 1683026, 1765532, 2364357, 1730611, 1677607, 1664168, 2067852, 1709817, 1695316, 1799969, 1787541, 1776487, 1726239, 2377185, 1813260, 1760620, 2100815, 2390338, 1711470, 1802894, 1684663, 1656413","ACTB, APIP, ARPC2, ASF1A, ATG4A, BCL7B, C11ORF17, C9ORF6, CCDC28B, CDCA8, CENPA, COX7C, DAZAP2, DCI, DMN, ETNK1, EZH2, FABP5, FAM127B, FAM33A, GTF3A, HELLS, HJURP, HS.372654, HS.535392, IKZF5, KLHDC2, KPNA4, LDHA, LOC387934, LOC648868, LRRC57, MEIS3P1, MGC70857, MRCL3, NUP37, OTUD1, PSMB10, RDBP, RPS6KB2, RTN4, SC5DL, SLC25A11, SLC30A1, SLC35A5, SLC39A8, SNAPIN, SPSB2, TADA1L, TBCA, TCEB2, TIMM17B, TMEM33, TMEM9B, UBE2E3, UBE2T, VKORC1L1, ZDHHC13, ZMPSTE24"
M16.33,TBD,59,"2382431, 2379393, 2331197, 1732226, 1654945, 1809751, 1703180, 1783097, 1695562, 1787648, 1666082, 1757910, 2236655, 1911059, 1834198, 1867174, 1831763, 1913937, 1915553, 1911717, 1878375, 1878446, 1863034, 1880784, 1898071, 1836616, 1827277, 2099277, 1678810, 1678312, 1779572, 1766542, 1664955, 1745214, 1657728, 1759636, 1722284, 1804010, 1783735, 1682518, 1660942, 1687273, 1700627, 1777792, 1787823, 1738648, 1783673, 1695633, 1693702, 1663802, 2262203, 1676411, 2329309, 2294784, 1738362, 1755992, 1662021, 2218401, 1752380","ANKRD36, ASL, C21ORF66, DHX57, DNMT3A, EIF2C3, ETV3, FAM91A2, FLJ11292, GPR125, HEATR3, HIP1R, HM13, HS.131041, HS.191464, HS.201113, HS.225887, HS.357539, HS.384605, HS.445274, HS.464414, HS.539623, HS.544679, HS.550111, HS.551340, HS.561190, HS.62645, HTRA4, KIF27, LOC388397, LOC440456, LOC641705, LOC642109, LOC642393, LOC643831, LOC644144, LOC644297, LOC647606, LOC649639, LOC653197, LOC653352, LOC653468, LOC653800, LOC653980, LOC727948, LOC729008, LRRC37A, MAX, MRFAP1L1, PLGLA, PMS2CL, PMS2L2, POGZ, PRDM1, RNF19A, UCP3, ZNF326, ZNF563, ZNF565"
M16.34,TBD,56,"1678409, 2396691, 1726906, 1684694, 1675937, 2352926, 2221784, 1755335, 1757723, 1799887, 1728073, 1778662, 2400326, 2400322, 2291092, 1814952, 1694131, 1723048, 1699358, 1799708, 1651358, 1764986, 1865735, 1906423, 1879649, 1716089, 2174380, 2381037, 1739134, 2238383, 1683552, 1686852, 1700427, 1803968, 1663640, 2198499, 2279484, 1661735, 2302075, 1716062, 1724213, 1736654, 2408663, 1739423, 1742947, 1730825, 2197659, 1772482, 2378670, 2256687, 2297453, 1656678, 2287296, 1797236, 2270299, 1680993, 1694208, 1809291, 1687284","ABCC13, AKAP9, AKT1S1, ANK1, ANKRD9, BPGM, C17ORF76, C19ORF45, C6ORF106, CTSE, DENND1A, DIP2A, DYRK3, DYRK3, FAM13A1, FLCN, FLJ25371, GJC2, GNA12, GYPA, HBE1, HIST3H2BB, HS.107801, HS.390407, HS.568705, KANK2, KIAA1804, LIMS1, LOC388931, LOC388931, LOC400174, LOC401002, LOC440456, LOC641972, MAOA, MCART1, MGC13057, MGC33894, MSI2, MYL4, PAGE2, PIP5K1B, RHCE, RN7SK, SEC14L4, SGOL1, SLC14A1, SLC6A10P, SNX15, SOX6, ST6GALNAC4, SUZ12P, SYF2, TGM2, TP53BP2, TRIM10, TRIM10, TSPAN7, USP12"
M16.35,TBD,55,"1765779, 2095653, 1666258, 2280568, 1664772, 2396338, 1762439, 1721535, 2364174, 1706521, 1681678, 2282959, 1751904, 2395373, 1719857, 2115974, 1845874, 1868655, 1817973, 1913537, 1903345, 1880340, 1732988, 1792568, 1703337, 1660320, 1805833, 2162972, 1737935, 1706200, 1661888, 2408877, 1659952, 2410421, 1800414, 1775011, 2190851, 1760542, 1779600, 1719867, 2376553, 1748090, 1707710, 2112730, 1741684, 1682354, 1696294, 2346358, 1682781, 1746243, 2042941, 1714717, 1683575, 2353240, 1785831","ADAM17, AFMID, AMFR, ANKRD36, ATP2B4, BANP, C19ORF6, COG5, CSNK1A1, CSNK1G2, CTDSP1, DNA2, EDNRB, GABBR1, GRIPAP1, GSDM1, HS.207604, HS.28170, HS.516420, HS.570636, HS.575085, HS.581234, KIAA1666, KRT9, LOC441763, LOC644739, LOC646508, LYZ, MACF1, MED15, MEF2A, MLL3, MTMR2, NBPF1, NBPF20, NOL10, PPID, PSMA1, RIPK5, RNF13, SLC23A1, SLC2A11, SLC6A13, SLC9A4, SMPD1, SNORD33, SNX6, TAF1, TEAD2, TES, TMEM159, TMEM34, TMLHE, USF1, ZDHHC13"
M16.36,TBD,54,"1738604, 2387712, 2096985, 1657050, 1715384, 2390453, 1732404, 1792660, 2070940, 2395236, 1782439, 2124790, 1656486, 1792356, 1811836, 1729144, 1771264, 1735743, 1654691, 2386891, 1878885, 1848464, 2346836, 1773427, 1652371, 1760493, 1663444, 2226415, 1798472, 1728999, 1759772, 2399016, 1652287, 1722809, 1706652, 1652819, 1706593, 2334121, 1810962, 2214355, 1694533, 1748983, 1743217, 2160160, 1725108, 1775486, 1771949, 2413331, 2196479, 1764694, 2226628, 1664034, 1762046, 2125880","ADH5, AK5, ALDH6A1, ARSK, B3GNT6, BCKDHB, C2ORF15, CAMSAP1L1, CD302, CHEK2, CNN3, DJ222E13.2, DNAJC10, DPYSL4, DYNC2LI1, EBAG9, ELL3, FBLN7, FKBP3, GLT8D1, HS.449276, HS.511717, HSF5, KANK1, KIAA1324L, LIMS2, LIN7B, LOC440145, LOC550112, LOC730273, LRRC56, MMP28, NOG, NRCAM, OGG1, OPA3, PPHLN1, PRKDC, PTPRK, RAB30, RMND1, RTN4, SNORD32A, SNORD36C, SNX25, SSPN, TAF4B, TMEM107, XRN2, ZFP14, ZNF184, ZNF485, ZNF551, ZNF566"
M16.37,TBD,48,"1747627, 2344798, 2221014, 1766169, 2287276, 2135991, 1674926, 1756238, 1787441, 1774071, 1751161, 1748730, 2355463, 1752668, 1795298, 2384056, 1669617, 2340919, 1747589, 2062001, 1741464, 1916702, 1882093, 1816603, 1877778, 1862737, 1868047, 1887305, 1912083, 1881909, 1668283, 1755620, 1769988, 1707979, 1711585, 1774779, 1721774, 1743836, 1737631, 2330382, 1814985, 1723436, 1796560, 2271149, 1677305, 1779381, 1764980, 2350801, 1699887, 2127379, 1672486, 1671028, 2405991","ABCA2, APAF1, BAG4, BCAT1, C14ORF24, C16ORF69, C19ORF35, C6ORF128, CCDC17, CD177, COL7A1, CTRC, CYFIP1, DAAM2, GPER, GPER, GRB10, GRB10, HIST2H2AB, HOOK3, HOOK3, HS.137078, HS.30972, HS.31961, HS.374832, HS.402146, HS.537779, HS.549784, HS.559604, HS.579631, HYAL2, IER5L, IFNA10, INCA, KCMF1, LOC647121, MPP7, MXRA7, PAQR6, PAQR6, PDLIM7, PFKFB2, PFKFB2, PGM5, PVR, SEC61A2, SERPINA1, SLC25A29, ST14, ST6GALNAC3, TCF7L2, THRAP3, TRAF7"
M16.38,TBD,52,"1664631, 2112829, 1735364, 1687149, 1792242, 1701094, 1682775, 1786734, 1809147, 1771618, 1786186, 1807072, 1659495, 1878506, 1854384, 1840146, 1899317, 1863233, 1823112, 1906287, 1877196, 1904481, 1825275, 1830984, 1651328, 2098726, 1714808, 1811866, 1729591, 1746343, 1710177, 1676407, 1684634, 1715654, 1655864, 1791642, 1673409, 1795119, 2154287, 1754584, 2195703, 1654692, 1775357, 1660125, 2291644, 1787813, 1684278, 1697095, 2402131, 1733703, 1769416, 1693788","ADAM28, ANKAR, ANKFY1, BDP1, C8ORF44, CLN8, EDN1, EIF5, FAM118A, FLJ37396, GGTL3, GOSR2, HBS1L, HS.202475, HS.259679, HS.282467, HS.28705, HS.374420, HS.377257, HS.427242, HS.518414, HS.555947, HS.560896, HS.561915, LAT1-3TM, LOC440350, LOC441066, LOC642393, LOC642701, LOC643985, LOC644670, LOC646100, LOC647135, LOC653471, LOC653853, LOC91664, MGC16121, MYH3, PHACS, POLR2J4, PPARGC1B, RALGPS2, RUNDC2A, SFMBT2, SIRT5, SLC5A3, SNORD38A, SUZ12P, TAF15, TRMU, TTN, ZNF432"
M16.39,TBD,52,"2091590, 1703989, 1656382, 1688101, 2383807, 1799579, 1694482, 1656521, 1725640, 1713139, 1805903, 1756723, 1667578, 1781803, 2234310, 1701006, 1880342, 1887011, 1687524, 1786326, 2113333, 2249018, 1669096, 1778373, 1654493, 1702235, 1680757, 1669321, 1810254, 2152502, 1715908, 2086470, 2282352, 2403664, 1805652, 1659259, 1721241, 1732767, 1695334, 1737698, 2141482, 1677800, 2317658, 1717639, 1729868, 1728714, 1787275, 1687266, 1794560, 2094313, 1766346, 1685547","ANKRD41, ARFRP1, BOLA2, BTNL2, CALB2, CCDC51, CELSR1, CGI-96, DEFB119, DLGAP2, DOK2, DPP7, DUSP26, FIZ1, GLTPD1, HEXIM2, HS.495041, HS.511718, KBTBD4, KCTD15, LOC284194, LOC389816, LOC641788, LOC645442, LOC649169, LOC649571, LRRC26, MATK, MEI1, MGC72080, NCAPH2, PDGFRA, PHYH, POMC, PPP2R2D, PRPF6, PSCD2, PSMD9, PYGO2, RNF126P1, SERPINF1, SGTA, SLC3A2, SNF1LK, SPRYD4, SSSCA1, STAG3, TMEM191B, TMEM93, ZDHHC1, ZNF512B, ZXDB"
M16.40,TBD,51,"2232177, 2157277, 1797875, 1701386, 1781010, 1772132, 2078724, 1764410, 1655418, 2098126, 1740015, 1786176, 1714861, 1799030, 2408039, 1694057, 1693009, 1844692, 2038778, 1776678, 1796490, 1660923, 2393765, 2409062, 1728132, 1749834, 1714765, 1700182, 1711729, 1731174, 1732074, 1665148, 1652680, 1718936, 1697309, 1784641, 1815086, 2381899, 2152465, 1795762, 2276758, 1655077, 1666670, 1808041, 1697469, 1667371, 1759818, 2088124, 1703650, 1685625, 1786328","ACTN1, AKR1D1, ALOX5AP, ALS2CR2, ARHGEF3, ATP5B, C14ORF153, C22ORF13, CAPNS1, CCL5, CD14, CD37, CD68, CMTM2, EEF1D, EIF3K, FGL2, FOXO3, GAPDH, GIMAP7, GRINA, HCG4, IGLL1, ISCU, LDHB, LOC388588, LOC389599, LOC400721, LOC442454, LOC647856, LOC648210, LOC648249, LOC652616, LST1, NCF1, NDUFA3, NINJ1, OPTN, PIP5K2A, PLEK, POFUT1, PRDM1, RBX1, RPL10A, SFRS6, SLA, SORL1, TMEM154, TNIP1, UCP2, WDR40A"
M16.41,TBD,48,"1755974, 1655884, 1808163, 1727444, 2081335, 1774860, 1701477, 1786016, 1674661, 1741594, 1772651, 1652163, 1736500, 1809439, 1687384, 1688452, 1680860, 1664602, 1692707, 1689712, 1739263, 1704291, 1703692, 1704750, 2053546, 1763409, 1655046, 2354855, 1731851, 1660232, 1743663, 2325234, 1711596, 1760933, 1669572, 1808095, 2051519, 1651850, 1696839, 1701681, 1771620, 1764489, 1670561, 1738938, 1738276, 1665583, 1736135, 1692168, 1765606, 1722894","ALDOC, ATP2A2, C11ORF24, C16ORF53, C7ORF44, C8ORF53, CCDC101, CHD1L, CIRBP, CLCN6, CNOT2, DVL2, GNB2L1, HMG1L1, IFI6, LCMT1, LEMD2, LOC143543, LOC391356, LOC440927, LOC643284, LOC645317, LOC647000, LOC647000, LOC653314, LRRC8D, NUTF2, OTUB1, OXA1L, PEX5, POMT1, PQBP1, PQBP1, RER1, RNF126, RNF41, RPL37A, RPS16, RPS27, SEC11C, SNRPB2, TBL2, TCEAL8, TIMM8B, TMEM185A, TUBB, TYW1, UBE2Z, YAF2, ZNRD1"
M16.42,TBD,50,"1698189, 1706344, 2370882, 1712786, 2215824, 1811188, 1738529, 1730019, 2111229, 2056687, 1730631, 1753190, 1716342, 2209163, 1784847, 1792597, 2077758, 1694223, 2332990, 2358647, 1745991, 1683462, 1818617, 1904135, 1913336, 1867517, 1864166, 1906110, 1849941, 1759419, 2359287, 1800942, 1736077, 2338197, 1739325, 1657996, 1882764, 2216265, 1728810, 1671891, 1737124, 1695640, 1684183, 2317751, 2335072, 1684802, 1812580, 1695079, 1756631, 1721629","AASDHPPT, ABHD6, ACSL5, AHCYL2, ANKRD20A1, BCCIP, BCS1L, BRD1, BZRAP1, C17ORF56, C2ORF44, C9ORF102, CCDC132, CHD6, CREBZF, CRYGS, CTDSPL2, DGCR8, DIABLO, FBXO21, GNRH1, GSS, HS.158923, HS.231861, HS.254006, HS.37648, HS.403972, HS.47995, HS.522924, ILVBL, ITGA6, KCTD6, LIAS, LINS1, LOC284023, LOC642035, LOC730358, LONP2, NDUFS1, PID1, PRPF4B, PTPN22, RAD9A, REC8, TAF1C, TAF5, YDJC, ZNF101, ZNF526, ZNF654"
M16.43,TBD,48,"1712806, 1737833, 1761850, 1677080, 2351795, 1690209, 1693004, 1743219, 1792075, 2170080, 1740276, 2186108, 1700822, 2354617, 1696991, 1760778, 2406532, 2198812, 1745963, 1727642, 1762255, 1651800, 1714945, 1692896, 2169025, 2332964, 1749984, 1799569, 1771861, 1804350, 1814153, 1763264, 2346460, 1734184, 1677509, 1654318, 1694923, 1660858, 2407529, 2112811, 1716218, 1652736, 1725852, 1678974, 1668984, 1672461, 2339691, 2340027, 1697773","AP1S1, ATN1, ATRN, C11ORF60, C18ORF1, C1ORF186, C20ORF117, CA11, CD22, CIDECP, CLDN9, DGCR6, DPP3, DYRK1B, DYRK1B, ENG, F11R, FDX1, FOLR2, GCS1, GSTM1, GSTM4, ITPKC, JMJD4, JOSD2, LGMN, LOC440313, LOC440895, LOC642250, LOC644852, LOC729486, MRPL2, NARG2, P76, PRR7, PTPN23, PTPN9, RIN1, RNF135, RPL36A, RPS6KA2, RPS6KA3, S100A2, SEMA4G, SPNS3, SPPL2B, SYVN1, TSPAN4, ZNF517"
M16.44,TBD,48,"1655702, 1725534, 1798254, 1804396, 1729509, 1803742, 1716797, 1734707, 1798177, 2122952, 1790891, 2323992, 1700610, 2404085, 2119692, 2087692, 1664691, 1797522, 1796146, 1664068, 1779486, 2333367, 1758623, 1867138, 1857413, 1784630, 1696021, 1731907, 1674789, 2142752, 2402341, 2363426, 1698225, 1707312, 1704870, 1713058, 1746836, 1653652, 2358540, 1716465, 1684887, 1702787, 1706553, 1734229, 1667460, 1768469, 2083946, 1688231, 1804743","ABHD5, ACTN4, ACTR10, C14ORF4, C1ORF43, CAPZA1, CD302, CHST13, CHURC1, CISD1, CKAP4, CLEC7A, CLEC7A, CLIP1, CSAD, CYBRD1, DAPP1, DUSP3, EIF4E3, ERGIC1, FAM126B, FKBP1A, HIST1H2BD, HS.333764, HS.520591, KBTBD11, KPNA6, LOC643313, LOC651738, MANSC1, MAPK3, MAX, MYO5A, NFIL3, PGLYRP1, PSTPIP2, PTAFR, PTPRC, RBMS1, RBP7, SAMSN1, SEMA4A, SMG7, SPPL2A, SULF2, TCN1, TGFA, TREM1, USP32"
M16.45,TBD,47,"1699644, 1674698, 1652594, 1780806, 1657064, 1758633, 1659054, 1803856, 1670796, 2175894, 1855746, 1845086, 1855286, 1884750, 1818632, 1669584, 1732516, 2323418, 2276811, 1806828, 1668683, 1743538, 1707175, 2294878, 1712636, 1748109, 1728019, 1735064, 1741356, 1722726, 2322498, 1661335, 1738449, 1739985, 1706839, 1814194, 1653529, 1733562, 1718621, 1766803, 1717334, 1774828, 2414826, 1800721, 1784037, 1792092, 1652407, 1691798","AARS2, ACTR5, ANKRD36B, C6ORF70, CCDC130, CHKB, DKFZP586I1420, EXOSC10, HNRPR, HS.154336, HS.193784, HS.520349, HS.561735, HS.561844, ILF3, KNTC1, KRIT1, MARCH3, METT11D1, MGC3207, MLL, MLLT10, NSD1, NSUN5, NVL, PEX1, PML, PPP1R3E, PRICKLE1, RICS, RORA, SPTBN1, STIM2, TAGAP, TCERG1, TCF4, TEX10, TFB1M, TSPAN32, TUBGCP6, VAV1, VEZT, VPS13A, VPS13A, ZBTB40, ZCCHC8, ZMYND8, ZNF26"
